,index,symbols,#,%,sum%
0,2,cccccccccccc,67,0.29004329004329005,0.29004329004329005
1,3,cccaaaaaabbc,10,0.04329004329004329,0.3333333333333333
2,15,cccbaaaabbbb,8,0.03463203463203463,0.36796536796536794
3,8,cccbaaaaabcc,8,0.03463203463203463,0.40259740259740256
4,9,cccbaaaaabbb,8,0.03463203463203463,0.4372294372294372
5,6,cccaaaaaabbb,7,0.030303030303030304,0.46753246753246747
6,14,cccbaaaabbcc,7,0.030303030303030304,0.49783549783549774
7,54,cccbbaaabbbb,6,0.025974025974025976,0.5238095238095237
8,11,cccbaaaabccc,5,0.021645021645021644,0.5454545454545454
9,16,bccbaaaabbbb,5,0.021645021645021644,0.5670995670995671
10,0,cccbaaaaaabb,5,0.021645021645021644,0.5887445887445888
11,57,bccbaaaaabbb,4,0.017316017316017316,0.6060606060606061
12,4,cccaaaaaaabb,4,0.017316017316017316,0.6233766233766234
13,33,ccccccbbcccc,3,0.012987012987012988,0.6363636363636364
14,13,cccaaaaabbcc,3,0.012987012987012988,0.6493506493506493
15,7,cccaaaaaabcc,3,0.012987012987012988,0.6623376623376623
16,31,cccccbbbcccc,3,0.012987012987012988,0.6753246753246753
17,5,bbcbaaaaabbb,3,0.012987012987012988,0.6883116883116883
18,64,cccbaaaabbbc,3,0.012987012987012988,0.7012987012987013
19,12,bccaaaaaabbb,3,0.012987012987012988,0.7142857142857143
20,50,bccbaaaaaabb,3,0.012987012987012988,0.7272727272727273
21,25,cccbbaaabbcc,3,0.012987012987012988,0.7402597402597403
22,42,ccccbaaabbbc,2,0.008658008658008658,0.748917748917749
23,1,bccccccccccc,2,0.008658008658008658,0.7575757575757577
24,35,ccccaaaabbbc,2,0.008658008658008658,0.7662337662337664
25,38,cccccbbccccc,2,0.008658008658008658,0.7748917748917751
26,65,cccbaaaaabbc,2,0.008658008658008658,0.7835497835497838
27,43,cccaaaaabbbb,2,0.008658008658008658,0.7922077922077925
28,45,cccaaaaaaaab,2,0.008658008658008658,0.8008658008658012
29,55,bccbaaaabbbc,2,0.008658008658008658,0.8095238095238099
30,51,bccaaaaaaabb,2,0.008658008658008658,0.8181818181818186
31,34,ccccbaabbbcc,2,0.008658008658008658,0.8268398268398273
32,10,bccaaaaaabcc,2,0.008658008658008658,0.835497835497836
33,17,cccaaaaabbbc,2,0.008658008658008658,0.8441558441558447
34,23,cccbbaaaabbc,2,0.008658008658008658,0.8528138528138534
35,26,ccccbaaabccc,2,0.008658008658008658,0.861471861471862
36,32,ccccccaabccc,1,0.004329004329004329,0.8658008658008663
37,58,bbccbaaabbbb,1,0.004329004329004329,0.8701298701298706
38,53,ccccaaaabbcc,1,0.004329004329004329,0.8744588744588749
39,20,bbcbaaaaabcc,1,0.004329004329004329,0.8787878787878792
40,19,bcccccbbbccc,1,0.004329004329004329,0.8831168831168835
41,56,bccbbaaabbbc,1,0.004329004329004329,0.8874458874458878
42,18,ccccccccccbb,1,0.004329004329004329,0.8917748917748921
43,59,bbcbaaaabbbb,1,0.004329004329004329,0.8961038961038964
44,21,cccbaaaabbcb,1,0.004329004329004329,0.9004329004329007
45,60,bbbbaaaabbbb,1,0.004329004329004329,0.904761904761905
46,61,cccabaaabbbb,1,0.004329004329004329,0.9090909090909093
47,62,cccccccbcccc,1,0.004329004329004329,0.9134199134199136
48,63,bccbbaaabbbb,1,0.004329004329004329,0.9177489177489179
49,66,bbccaabbbbbc,1,0.004329004329004329,0.9220779220779222
50,52,bccbbaaabbcc,1,0.004329004329004329,0.9264069264069265
51,22,cccbbaaabccc,1,0.004329004329004329,0.9307359307359307
52,30,ccccbbabbbcc,1,0.004329004329004329,0.935064935064935
53,49,cccaaaaababc,1,0.004329004329004329,0.9393939393939393
54,48,bbcccccccccc,1,0.004329004329004329,0.9437229437229436
55,47,bbcaaaaaaaab,1,0.004329004329004329,0.9480519480519479
56,46,bbcaaaaaaabb,1,0.004329004329004329,0.9523809523809522
57,44,bcccaaaabbbc,1,0.004329004329004329,0.9567099567099565
58,24,ccccbaaaabbb,1,0.004329004329004329,0.9610389610389608
59,41,cccbbbaabbcc,1,0.004329004329004329,0.9653679653679651
60,40,ccccbbbbbccc,1,0.004329004329004329,0.9696969696969694
61,39,ccccbcbccccc,1,0.004329004329004329,0.9740259740259737
62,27,cccbbaaaaaab,1,0.004329004329004329,0.978354978354978
63,37,ccccababcccc,1,0.004329004329004329,0.9826839826839823
64,36,ccccaaaabbbb,1,0.004329004329004329,0.9870129870129866
65,28,bbbbaaaabbcc,1,0.004329004329004329,0.9913419913419909
66,29,ccccbaaabbcc,1,0.004329004329004329,0.9956709956709952
67,67,ccccbbbbbbbc,1,0.004329004329004329,0.9999999999999994
