Timestamp,data,own_labels
2022-04-08 00:07:42,-1.3792,1.0
2022-04-08 00:22:42,-1.349866666666667,1.0
2022-04-08 00:37:42,-1.2375999999999998,1.0
2022-04-08 00:52:42,-1.1874285714285715,1.0
2022-04-08 01:07:42,-1.108533333333333,1.0
2022-04-08 01:22:42,-1.0540000000000005,1.0
2022-04-08 01:37:42,-0.9709333333333331,1.0
2022-04-08 01:52:42,-0.9085999999999994,1.0
2022-04-08 02:07:42,-0.8998000000000005,1.0
2022-04-08 02:22:42,-0.9043999999999994,1.0
2022-04-08 02:37:42,-0.8624000000000003,1.0
2022-04-08 02:52:42,-0.8416000000000001,1.0
2022-04-08 03:07:42,-0.7335999999999994,1.0
2022-04-08 03:22:42,-0.7792666666666664,1.0
2022-04-08 03:37:42,-0.7457333333333336,1.0
2022-04-08 03:52:42,-0.7624000000000002,1.0
2022-04-08 04:07:42,-0.6417999999999997,1.0
2022-04-08 04:22:42,-0.6748000000000005,1.0
2022-04-08 04:37:42,-0.5456000000000005,1.0
2022-04-08 04:52:42,-0.5751999999999995,1.0
2022-04-08 05:07:42,-0.5083999999999999,1.0
2022-04-08 05:22:42,-0.4958000000000001,1.0
2022-04-08 05:37:42,-0.4622000000000007,1.0
2022-04-08 05:52:42,-0.2791333333333334,1.0
2022-04-08 06:07:42,0.7830000000000008,1.0
2022-04-08 06:22:42,-2.8957333333333337,1.0
2022-04-08 06:37:42,-4.195866666666666,1.0
2022-04-08 06:52:42,-3.6665333333333336,1.0
2022-04-08 07:07:42,-2.9459999999999997,1.0
2022-04-08 07:22:42,-2.4626666666666663,1.0
2022-04-08 07:37:42,-2.0999333333333334,1.0
2022-04-08 07:52:42,-1.9377999999999993,1.0
2022-04-08 08:07:42,-2.246,1.0
2022-04-08 08:22:42,-4.414818181818182,1.0
2022-04-08 08:37:42,-7.8416000000000015,1.0
2022-04-08 08:52:42,-8.1834,1.0
2022-04-08 09:07:42,-8.504266666666668,1.0
2022-04-08 09:22:42,-9.0084,1.0
2022-04-08 09:37:42,-8.7292,1.0
2022-04-08 09:52:42,-8.075066666666668,1.0
2022-04-08 10:07:42,-6.954200000000001,1.0
2022-04-08 10:22:42,-6.825133333333334,1.0
2022-04-08 10:37:42,-9.2292,1.0
2022-04-08 10:52:42,-9.800133333333333,1.0
2022-04-08 11:07:42,-9.016666666666667,1.0
2022-04-08 11:22:42,-9.558333333333334,1.0
2022-04-08 11:37:42,-9.504066666666667,1.0
